"Country or Area","Year","Commodity","Flow","Trade (USD)","Weight (kg)","Quantity Name","Quantity"
"Botswana","2023","Wood; charcoal of nut or shell, whether or not agglomerated","Import","1795.992","1100","Weight in kilograms","444"
"Botswana","2022","Wood; charcoal of nut or shell, whether or not agglomerated","Import","403.765","18","Weight in kilograms","1"
"Brazil","2024","Wood; charcoal of nut or shell, whether or not agglomerated","Export","402728","500121","Weight in kilograms","488323"
"Brazil","2024","Wood; charcoal of nut or shell, whether or not agglomerated","Import","913369","1221032","Weight in kilograms","1221032"
"Brazil","2023","Wood; charcoal of nut or shell, whether or not agglomerated","Export","313076","454230","Weight in kilograms","454229"
"Brazil","2023","Wood; charcoal of nut or shell, whether or not agglomerated","Import","1300117","2362012","Weight in kilograms","2362012"
"Brazil","2022","Wood; charcoal of nut or shell, whether or not agglomerated","Export","546","672","Weight in kilograms","672"
"Brazil","2022","Wood; charcoal of nut or shell, whether or not agglomerated","Import","838023","861114","Weight in kilograms","861114"
"Brunei Darussalam","2023","Wood; charcoal of nut or shell, whether or not agglomerated","Import","35580.914","43910","Weight in kilograms","43910"
"Bulgaria","2024","Wood; charcoal of nut or shell, whether or not agglomerated","Import","99566.24","58038","Weight in kilograms","58038"
"Bulgaria","2023","Wood; charcoal of nut or shell, whether or not agglomerated","Import","83253.054","67285","Weight in kilograms","67285"
"Bulgaria","2022","Wood; charcoal of nut or shell, whether or not agglomerated","Import","110001.836","63451","Weight in kilograms","63451"
"Burkina Faso","2024","Wood; charcoal of nut or shell, whether or not agglomerated","Import","13218.498","24809","Weight in kilograms","24809"
"Cambodia","2023","Wood; charcoal of nut or shell, whether or not agglomerated","Import","20.82","1.26","Weight in kilograms","1.26"
"Cambodia","2022","Wood; charcoal of nut or shell, whether or not agglomerated","Export","22554.85","39366","Weight in kilograms","39366"
"Cambodia","2022","Wood; charcoal of nut or shell, whether or not agglomerated","Import","11081.87","78050.87","Weight in kilograms","78050.87"
"Canada","2024","Wood; charcoal of nut or shell, whether or not agglomerated","Export","94.935","119.057","Weight in kilograms","119.057"
"Canada","2024","Wood; charcoal of nut or shell, whether or not agglomerated","Import","927099.668","5377824.505","Weight in kilograms","5377824.505"
"Canada","2023","Wood; charcoal of nut or shell, whether or not agglomerated","Import","1204968.948","725744.038","Weight in kilograms","725744.038"
"Canada","2022","Wood; charcoal of nut or shell, whether or not agglomerated","Import","1368977.339","1512274.975","Weight in kilograms","1512274.975"
"Chile","2024","Wood; charcoal of nut or shell, whether or not agglomerated","Import","67064.986","75543.777","Weight in kilograms","75543.777"
"Chile","2023","Wood; charcoal of nut or shell, whether or not agglomerated","Import","1048.06","43.777","Weight in kilograms","43.777"
"Chile","2022","Wood; charcoal of nut or shell, whether or not agglomerated","Import","24532.679","23403.55","Weight in kilograms","23403.55"
"China","2024","Wood; charcoal of nut or shell, whether or not agglomerated","Export","485153","659620","Weight in kilograms","659620"
"China","2024","Wood; charcoal of nut or shell, whether or not agglomerated","Import","70462827","159887870","Weight in kilograms","159887870"
"China","2023","Wood; charcoal of nut or shell, whether or not agglomerated","Import","71681929","154193792","Weight in kilograms","154193792"
"China","2023","Wood; charcoal of nut or shell, whether or not agglomerated","Export","410534","373469","Weight in kilograms","373469"
"China","2022","Wood; charcoal of nut or shell, whether or not agglomerated","Import","44964863","85659039","Weight in kilograms","85659039"
"China","2022","Wood; charcoal of nut or shell, whether or not agglomerated","Export","1785498","753603","Weight in kilograms","753603"
"China, Hong Kong SAR","2024","Wood; charcoal of nut or shell, whether or not agglomerated","Export","1537.706","1928.421","Weight in kilograms","1928.421"
"China, Hong Kong SAR","2024","Wood; charcoal of nut or shell, whether or not agglomerated","Import","3952.416","3565.855","Weight in kilograms","3565.855"
"China, Hong Kong SAR","2023","Wood; charcoal of nut or shell, whether or not agglomerated","Import","3723.953","3771.161","Weight in kilograms","3771.161"
"China, Hong Kong SAR","2022","Wood; charcoal of nut or shell, whether or not agglomerated","Export","28238.056","26992.082","Weight in kilograms","26992.082"
"China, Hong Kong SAR","2022","Wood; charcoal of nut or shell, whether or not agglomerated","Import","22155.632","24174.327","Weight in kilograms","24174.327"
"China, Macao SAR","2023","Wood; charcoal of nut or shell, whether or not agglomerated","Import","3146.939","6650","Weight in kilograms","6650"
"Colombia","2023","Wood; charcoal of nut or shell, whether or not agglomerated","Import","32770.64","25340.67","Weight in kilograms","25340.67"
"Colombia","2022","Wood; charcoal of nut or shell, whether or not agglomerated","Import","185.11","356.69","Weight in kilograms","356.69"
"Costa Rica","2023","Wood; charcoal of nut or shell, whether or not agglomerated","Import","598.25","18.28","Weight in kilograms","18.28"
"Costa Rica","2022","Wood; charcoal of nut or shell, whether or not agglomerated","Import","3.17","2.47","Weight in kilograms","2.47"
"Côte d'Ivoire","2023","Wood; charcoal of nut or shell, whether or not agglomerated","Export","8683.954","50013","Weight in kilograms","50013"
"Croatia","2024","Wood; charcoal of nut or shell, whether or not agglomerated","Import","8461","1820","Weight in kilograms","1820"
"Croatia","2024","Wood; charcoal of nut or shell, whether or not agglomerated","Export","9861","7624.81","Weight in kilograms","7624.81"
"Croatia","2023","Wood; charcoal of nut or shell, whether or not agglomerated","Import","16487","3601","Weight in kilograms","3601"
"Croatia","2022","Wood; charcoal of nut or shell, whether or not agglomerated","Import","829","780","Weight in kilograms","780"
"Cyprus","2024","Wood; charcoal of nut or shell, whether or not agglomerated","Import","59514.69","42917","Weight in kilograms","42917"
"Cyprus","2023","Wood; charcoal of nut or shell, whether or not agglomerated","Import","57068.276","44970","Weight in kilograms","44970"
"Cyprus","2022","Wood; charcoal of nut or shell, whether or not agglomerated","Import","77763.429","199840","Weight in kilograms","199840"
"Czech Rep.","2024","Wood; charcoal of nut or shell, whether or not agglomerated","Import","177261","120863.091","Weight in kilograms","120863.091"
"Czech Rep.","2024","Wood; charcoal of nut or shell, whether or not agglomerated","Export","14541","4758","Weight in kilograms","4758"
"Czech Rep.","2023","Wood; charcoal of nut or shell, whether or not agglomerated","Export","27066","8376.902","Weight in kilograms","8376.902"
"Czech Rep.","2023","Wood; charcoal of nut or shell, whether or not agglomerated","Import","216166","112577.101","Weight in kilograms","112577.101"
"Czech Rep.","2022","Wood; charcoal of nut or shell, whether or not agglomerated","Import","277910","296050.159","Weight in kilograms","296050.159"
"Czech Rep.","2022","Wood; charcoal of nut or shell, whether or not agglomerated","Export","16599","4086.139","Weight in kilograms","4086.139"
"Denmark","2024","Wood; charcoal of nut or shell, whether or not agglomerated","Export","2676502.658","3138844","Weight in kilograms","3138844"
"Denmark","2024","Wood; charcoal of nut or shell, whether or not agglomerated","Import","2112699.417","3529903","Weight in kilograms","3529903"
"Denmark","2023","Wood; charcoal of nut or shell, whether or not agglomerated","Export","2177245.993","2099137","Weight in kilograms","2099137"
"Denmark","2023","Wood; charcoal of nut or shell, whether or not agglomerated","Import","415984.992","525654","Weight in kilograms","525654"
"Denmark","2022","Wood; charcoal of nut or shell, whether or not agglomerated","Export","91383.885","98525","Weight in kilograms","98525"
"Denmark","2022","Wood; charcoal of nut or shell, whether or not agglomerated","Import","149622.006","192786","Weight in kilograms","192786"
"Estonia","2024","Wood; charcoal of nut or shell, whether or not agglomerated","Import","57367.54","42574.86","Weight in kilograms","42574.86"
"Estonia","2024","Wood; charcoal of nut or shell, whether or not agglomerated","Export","843.97","129.1","Weight in kilograms","129.1"
"Estonia","2023","Wood; charcoal of nut or shell, whether or not agglomerated","Import","44320.04","29888.6","Weight in kilograms","29888.6"
"Estonia","2023","Wood; charcoal of nut or shell, whether or not agglomerated","Export","116.64","19.65","Weight in kilograms","19.65"
"Estonia","2022","Wood; charcoal of nut or shell, whether or not agglomerated","Export","840.36","359.27","Weight in kilograms","359.27"
"Estonia","2022","Wood; charcoal of nut or shell, whether or not agglomerated","Import","407267.78","459141.27","Weight in kilograms","459141.27"
"EU-28","2024","Wood; charcoal of nut or shell, whether or not agglomerated","Export","959559.1","570478.435","Weight in kilograms","570478.435"
"EU-28","2024","Wood; charcoal of nut or shell, whether or not agglomerated","Import","16149054.027","16470918.148","Weight in kilograms","16470918.148"
"EU-28","2023","Wood; charcoal of nut or shell, whether or not agglomerated","Export","1363730.902","857219.429","Weight in kilograms","857219.429"
"EU-28","2023","Wood; charcoal of nut or shell, whether or not agglomerated","Import","12854217.453","12393298.956","Weight in kilograms","12393298.956"
"EU-28","2022","Wood; charcoal of nut or shell, whether or not agglomerated","Export","2001532.69","1934113.545","Weight in kilograms","1934113.545"
"EU-28","2022","Wood; charcoal of nut or shell, whether or not agglomerated","Import","12951332.424","11177296.686","Weight in kilograms","11177296.686"
"Fiji","2024","Wood; charcoal of nut or shell, whether or not agglomerated","Export","165.322","107","Weight in kilograms","107"
"Fiji","2023","Wood; charcoal of nut or shell, whether or not agglomerated","Import","4574.412","936","Weight in kilograms","936"
"Fiji","2023","Wood; charcoal of nut or shell, whether or not agglomerated","Export","111.994","5","Weight in kilograms","5"
"Finland","2024","Wood; charcoal of nut or shell, whether or not agglomerated","Import","256153.995","206393","Weight in kilograms","206393"
"Finland","2023","Wood; charcoal of nut or shell, whether or not agglomerated","Import","80422.597","115133","Weight in kilograms","115133"
"Finland","2022","Wood; charcoal of nut or shell, whether or not agglomerated","Import","56219.107","88581","Weight in kilograms","88581"
"France","2024","Wood; charcoal of nut or shell, whether or not agglomerated","Export","312730.022","180983.188","Weight in kilograms","180983.188"
"France","2024","Wood; charcoal of nut or shell, whether or not agglomerated","Import","826596.639","482909.671","Weight in kilograms","482909.671"
"France","2023","Wood; charcoal of nut or shell, whether or not agglomerated","Export","350132.079","285608.702","Weight in kilograms","285608.702"
"France","2023","Wood; charcoal of nut or shell, whether or not agglomerated","Import","775673.995","443235.365","Weight in kilograms","443235.365"
"France","2022","Wood; charcoal of nut or shell, whether or not agglomerated","Export","271354.836","948894","Weight in kilograms","948894"
"France","2022","Wood; charcoal of nut or shell, whether or not agglomerated","Import","1027987.126","710808.07","Weight in kilograms","710808.07"
"Germany","2024","Wood; charcoal of nut or shell, whether or not agglomerated","Import","3925960.615","3310228.553","Weight in kilograms","3310228.553"
"Germany","2024","Wood; charcoal of nut or shell, whether or not agglomerated","Export","1719070.2","863944","Weight in kilograms","863944"
